title,author,rating,rank,number_of_reviews,price,cover_type,year,genre
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,15,"15,036",11.26,Hardcover,2010,Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,16,"12,910",19.78,Paperback,2010,Fiction
The Help,Kathryn Stockett,4.7,17,"32,363",12.62,Paperback,2010,Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.6,18,"27,319",8.88,Paperback,2010,Fiction
11/22/63: A Novel,Stephen King,4.8,19,"3,279",28.88,Hardcover,2010,
The Official SAT Study Guide,,4.4,20,The College Board,,Paperback,2010,Fiction
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,21,"39,395",8.89,Hardcover,2010,Non Fiction
The Hunger Games Trilogy Boxed Set,Suzanne Collins,4.8,22,"43,306",60.0,Hardcover,2010,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,23,"12,860",11.29,Paperback,2010,Non Fiction
Tina Fey: Bossypants,Tina Fey,4.3,24,"19,969",8.75,Hardcover,2010,Non Fiction
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.4,25,"8,180",15.96,Hardcover,2010,Non Fiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",,4.3,26,Eric Larson,15.65,Hardcover,2010,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,27,"4,912",,Paperback,2010,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,28,"2,247",14.87,Paperback,2010,Non Fiction
A Stolen Life: A Memoir,,4.6,29,Jaycee Dugard,17.0,Hardcover,2010,Non Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.6,30,"24,773",12.9,Hardcover,2010,Non Fiction
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",E L James,4.2,1,"111,129",13.99,Paperback,2010,Non Fiction
Fifty Shades Darker,E L James,4.5,2,"75,359",13.99,Paperback,2010,Fiction
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,4.5,3,"61,570",13.88,Paperback,2010,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,4,"76,522",,Paperback,2010,Fiction
StrengthsFinder 2.0,,4.1,5,Gallup,20.96,Hardcover,2010,Non Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.6,6,"69,265",21.59,Paperback,2010,Non Fiction
"Catching Fire (Hunger Games, Book Two): Volume 2",Suzanne Collins,4.7,7,"61,120",14.62,Hardcover,2010,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.6,8,"75,799",11.26,Hardcover,2010,Non Fiction
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,9,"20,133",10.53,Hardcover,2010,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,10,"14,132",23.85,Hardcover,2010,Non Fiction
The Hunger Games Trilogy Boxed Set,Suzanne Collins,4.8,11,"43,306",60.0,Hardcover,2010,Non Fiction
Gone Girl,Gillian Flynn,4.1,12,"159,888",14.99,Hardcover,2010,Non Fiction
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,13,"30,886",11.46,Hardcover,2010,Non Fiction
The Official SAT Study Guide,,4.4,14,The College Board,,Paperback,2010,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.7,15,"8,359",42.84,Mass Market Paperback,2010,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.5,16,"15,431",16.44,Hardcover,2010,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,17,"12,910",19.78,Paperback,2010,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,18,"15,036",11.26,Hardcover,2010,Non Fiction
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,19,"75,136",15.68,Hardcover,2010,Non Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,4.4,20,Eben Alexander,9.99,Paperback,2010,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,21,"4,912",,Paperback,2010,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,22,"2,478",18.29,Hardcover,2010,Non Fiction
"Thinking, Fast and Slow",Daniel Kahneman,4.6,23,"39,285",19.47,Hardcover,2010,Non Fiction
The Casual Vacancy,J.K. Rowling,3.6,24,"20,179",16.99,Hardcover,2010,Non Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.7,25,"23,833",10.59,Paperback,2010,Non Fiction
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,26,"36,496",21.08,Hardcover,2010,Non Fiction
Steve Jobs,Walter Isaacson,4.7,27,"22,978",17.33,Hardcover,2010,Non Fiction
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,28,"10,793",13.16,Hardcover,2010,Fiction
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,29,"45,644",8.96,Hardcover,2010,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,4.6,30,Stephen R. Covey,20.0,Paperback,2010,Non Fiction
StrengthsFinder 2.0,,4.1,1,Gallup,20.96,Hardcover,2011,Non Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,2,"16,972",11.0,Hardcover,2011,Non Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.6,3,"25,519",,Hardcover,2011,Non Fiction
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,4,"10,132",11.82,Hardcover,2011,Fiction
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,5,"39,395",8.89,Hardcover,2011,Non Fiction
Inferno,Dan Brown,4.2,6,"80,989",15.69,Hardcover,2011,Fiction
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,7,"33,417",12.2,Hardcover,2011,Fiction
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.6,8,"11,064",11.95,Hardcover,2011,Non Fiction
"Great Gatsby, the; (Us Import Ed.)",F. Scott Fitzgerald,4.4,9,"14,097",7.1,Paperback,2011,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,10,"20,981",19.39,Hardcover,2011,Non Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,4.4,11,Eben Alexander,9.99,Paperback,2011,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.7,12,"12,812",141.08,Paperback,2011,Non Fiction
The Official SAT Study Guide,,4.4,13,The College Board,,Paperback,2011,Non Fiction
The Fault in Our Stars,,4.6,14,John Green,11.06,Hardcover,2011,Non Fiction
The Book Thief,Markus Zusak,4.6,15,"65,550",7.83,Paperback,2011,Non Fiction
Wonder,R. J. Palacio,4.7,16,"82,598",9.4,Hardcover,2011,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,17,"4,912",,Paperback,2011,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,18,"12,910",19.78,Paperback,2011,Non Fiction
Divergent,Veronica Roth,4.7,19,"17,524",12.46,Paperback,2011,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,20,"11,598",4.99,Paperback,2011,Non Fiction
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,21,"45,644",8.96,Hardcover,2011,Non Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,22,"13,375",16.65,Hardcover,2011,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.7,23,"8,359",42.84,Mass Market Paperback,2011,Fiction
Allegiant,Veronica Roth,4.1,24,"66,453",8.95,Hardcover,2011,Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,25,"39,223",14.25,Hardcover,2011,Non Fiction
Humans of New York,Brandon Stanton,4.8,26,"5,550",15.67,Hardcover,2011,Non Fiction
The Legend of Zelda: Hyrule Historia,,4.9,27,Patrick Thorpe,25.1,Hardcover,2011,Non Fiction
Doctor Sleep: A Novel,Stephen King,4.6,28,"40,440",14.11,Hardcover,2011,Non Fiction
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,29,"5,903",4.99,Paperback,2011,Non Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4.1,30,"122,729",18.5,Hardcover,2011,Non Fiction
StrengthsFinder 2.0,,4.1,1,Gallup,20.96,Hardcover,2011,Non Fiction
Frozen (Little Golden Book),,4.7,2,RH Disney,9.01,Hardcover,2011,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,3,"11,598",4.99,Paperback,2011,
The Fault in Our Stars,,4.6,4,John Green,7.83,Paperback,2011,Non Fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.6,5,"29,335",9.99,Hardcover,2011,Non Fiction
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.6,6,"28,909",20.5,Hardcover,2011,Non Fiction
The Blood of Olympus (The Heroes of Olympus),Rick Riordan,4.8,7,"41,165",11.48,Hardcover,2011,Non Fiction
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,8,"39,395",8.89,Hardcover,2011,Non Fiction
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,9,"75,136",12.49,Paperback,2011,Non Fiction
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,,4.6,10,DK,6.99,Paperback,2011,Non Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,11,"22,155",9.4,Hardcover,2011,Fiction
Divergent,Veronica Roth,4.7,12,"17,524",12.46,Paperback,2011,Non Fiction
The Fault in Our Stars,,4.6,13,John Green,11.06,Hardcover,2011,Non Fiction
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,14,"45,644",8.96,Hardcover,2011,Non Fiction
To Kill a Mockingbird,Harper Lee,4.7,15,"128,056",21.47,Mass Market Paperback,2011,Non Fiction
Gone Girl,Gillian Flynn,4.1,16,"159,888",12.9,Paperback,2011,Non Fiction
The Book Thief,Markus Zusak,4.6,17,"65,550",7.83,Paperback,2011,Non Fiction
The Official SAT Study Guide,,4.4,18,The College Board,,Paperback,2011,Non Fiction
Humans of New York,Brandon Stanton,4.8,19,"5,550",15.67,Hardcover,2011,Non Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4.1,20,"122,729",18.5,Hardcover,2011,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.7,21,"12,812",141.08,Paperback,2011,Non Fiction
Wonder,R. J. Palacio,4.7,22,"82,598",9.4,Hardcover,2011,Non Fiction
The Book with No Pictures,B. J. Novak,4.8,23,"18,629",9.9,Hardcover,2011,Fiction
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,24,"5,445",10.99,Hardcover,2011,Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,25,"4,912",,Paperback,2011,Non Fiction
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,26,"5,903",4.99,Paperback,2011,Non Fiction
JOURNEY TO THE ICE P,RH Disney,4.6,27,"1,096",7.11,Paperback,2011,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,28,"12,910",19.78,Paperback,2011,Non Fiction
Little Blue Truck,Alice Schertle,4.9,29,"1,965",,Board book,2011,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.6,30,"2,380",18.29,Hardcover,2011,Non Fiction
First 100 Words: A Padded Board Book,Roger Priddy,4.7,1,"36,473",4.78,Board book,2012,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,4.5,2,Marie Kondō,8.89,Hardcover,2012,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,3,"11,598",4.99,Paperback,2012,Non Fiction
Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Johanna Basford,4.7,4,"15,325",13.95,Paperback,2012,Non Fiction
StrengthsFinder 2.0,,4.1,5,Gallup,20.96,Hardcover,2012,Non Fiction
Go Set a Watchman: A Novel,Harper Lee,3.8,6,"52,136",16.88,Hardcover,2012,Fiction
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,4.7,7,"8,234",12.15,Paperback,2012,Fiction
All the Light We Cannot See,Anthony Doerr,4.5,8,"212,202",18.99,Hardcover,2012,Fiction
The Girl on the Train,Paula Hawkins,4.1,9,"376,233",12.67,Hardcover,2012,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.5,10,"4,311",6.91,Paperback,2012,Non Fiction
Diary of a Wimpy Kid #10: Old School,Jeff Kinney,4.7,11,"30,680",11.0,Hardcover,2012,Non Fiction
To Kill a Mockingbird,Harper Lee,4.7,12,"128,056",21.47,Mass Market Paperback,2012,Non Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,13,"3,973",7.99,Paperback,2012,Non Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,4.5,14,"3,175",8.49,Paperback,2012,Non Fiction
Humans of New York : Stories,Brandon Stanton,4.9,15,"5,326",15.96,Hardcover,2012,Non Fiction
The Martian,Andy Weir,4.6,16,"169,468",10.41,Paperback,2012,Fiction
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,17,"45,644",8.96,Hardcover,2012,Fiction
Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,4.5,18,"5,903",4.99,Paperback,2012,Fiction
Dear Zoo: A Lift-the-Flap Book,,4.8,19,Rod Campbell,5.0,Board book,2012,Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,20,"22,155",9.4,Hardcover,2012,Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.6,21,"81,459",14.05,Paperback,2012,Fiction
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,22,"39,395",8.89,Hardcover,2012,Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,23,"26,367",12.98,Paperback,2012,Fiction
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",E L James,4.5,24,"117,361",12.76,Paperback,2012,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,25,"5,182",5.99,Paperback,2012,
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,4.7,26,"105,360",10.3,Paperback,2012,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,27,"88,081",8.39,Paperback,2012,Non Fiction
Balance (Angie’s Extreme Stress Menders),Angie Grace,4.6,28,"2,283",11.95,Paperback,2012,Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.7,29,"5,288",5.38,Paperback,2012,Fiction
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,4.6,30,Thug Kitchen,32.0,Hardcover,2012,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.3,1,"94,511",11.42,Hardcover,2012,Non Fiction
StrengthsFinder 2.0,,4.1,2,Gallup,20.96,Hardcover,2012,Non Fiction
First 100 Words: A Padded Board Book,Roger Priddy,4.7,3,"36,473",4.78,Board book,2012,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,4.5,4,Marie Kondō,8.89,Hardcover,2012,Non Fiction
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,5,"45,644",8.96,Hardcover,2012,Non Fiction
Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,4.7,6,"27,712",13.99,Hardcover,2012,Non Fiction
When Breath Becomes Air,Paul Kalanithi,4.7,7,"98,107",18.17,Hardcover,2012,Non Fiction
Giraffes Can't Dance,,4.8,8,Giles Andreae,5.94,Board book,2012,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,9,"88,081",8.39,Paperback,2012,Non Fiction
The Whole30: The 30-Day Guide to Total Health and Food Freedom,,4.6,10,Melissa Hartwig Urban,15.68,Hardcover,2012,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,11,"180,735",12.54,Paperback,2012,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,12,"19,855",15.8,Hardcover,2012,Non Fiction
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,4.7,13,"105,360",10.3,Paperback,2012,Non Fiction
The Magnolia Story,Chip Gaines,4.8,14,"14,000",14.1,Hardcover,2012,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,15,"11,598",4.99,Paperback,2012,Fiction
To Kill a Mockingbird,Harper Lee,4.7,16,"128,056",21.47,Mass Market Paperback,2012,Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.3,17,"81,524",14.63,Hardcover,2012,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,18,"13,286",13.55,Hardcover,2012,Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,19,"14,107",26.13,Hardcover,2012,Non Fiction
